DEPT,RDEEP_1,RSHAL_1,RMICRO_1,DENB_1,CALI_1,NEUT_1,GR_1,SP_1,DTCOMP_1,PEF_1,DTSH_1
1534.3632,4.6497,3.836,2.2154,2.3871,12.3197,0.234,84.846,-82.4375,94.8718,8.0814,184.8241
1534.5156,4.8541,3.9453,3.3303,2.4138,12.1363,0.2123,84.6701,-82.5,94.2099,8.1028,187.1028
1534.668,4.5899,3.7556,2.9582,2.4432,12.1064,0.1934,80.9322,-82.4375,93.5193,7.8105,195.3485
1534.8204,3.9791,3.307,2.0411,2.4517,12.2542,0.2116,87.9983,-83.0625,101.8796,7.3328,197.3935
1534.9728,3.4006,2.8524,1.3456,2.4299,12.2452,0.2451,89.8215,-83.3125,108.2047,7.9214,210.4152
1535.1252,3.0707,2.5542,0.9891,2.4191,12.2759,0.2923,97.7664,-83.625,105.452,7.4551,216.8419
1535.2776,2.8895,2.3973,1.3641,2.4263,12.2812,0.3085,93.5146,-84.0625,105.9125,7.7664,205.4248
1535.43,2.6031,2.1886,1.2554,2.4191,12.3072,0.2884,93.2715,-84.0625,106.2578,8.0018,208.7999
1535.5824,2.2374,1.9087,1.2427,2.3557,12.1682,0.2619,83.4541,-83.875,104.9783,8.3568,207.9369
1535.7348,1.9387,1.6673,0.6952,2.2721,12.0784,0.2623,76.769,-83.9375,105.763,8.2456,211.3284
1535.8872,1.9364,1.6651,0.6317,2.233,12.0885,0.2671,68.7468,-84,105.9936,8.6752,203.4814
1536.0396,2.0535,1.7574,1.0058,2.2673,12.1072,0.281,73.0776,-84,105.0374,9.9459,204.0997
1536.192,2.1861,1.868,1.6145,2.3408,12.2119,0.2971,83.4092,-84,106.5929,10.3144,210.8192
1536.3444,2.5586,2.1635,1.35,2.3845,12.312,0.3139,91.4817,-83.8125,106.8667,9.3007,214.2268
1536.4968,2.7415,2.3198,1.2735,2.3895,12.2683,0.2943,88.1726,-83.25,105.0789,8.3081,214.7978
1536.6492,2.7461,2.3017,1.6154,2.3958,12.2354,0.2926,86.714,-82.375,102.9678,7.7756,214.4344
1536.8016,2.9578,2.4627,1.7856,2.4071,12.2627,0.278,89.3972,-81.25,102.8612,8.1274,214.8869
1536.954,3.0817,2.5596,2.1688,2.4384,12.2952,0.3062,91.651,-80,102.6986,9.0718,212.4208
1537.1064,3.0335,2.5075,1.7634,2.4278,12.2658,0.2862,89.0422,-79.8125,102.2381,9.4285,210.056
1537.2588,2.6221,2.1775,1.8461,2.421,12.194,0.2991,80.9731,-80.1875,103.2217,9.2725,204.3635
1537.4112,2.3317,1.9434,1.0519,2.3732,12.2067,0.2709,80.4209,-80.75,102.6287,8.5907,199.039
1537.5636,2.2699,1.8952,0.8463,2.3185,12.1193,0.288,78.9393,-81.25,102.7812,8.9601,204.1183
1537.716,2.2267,1.8465,1.0347,2.3041,12.1272,0.2765,84.0318,-81.5,103.4248,8.7395,205.2535
1537.8684,2.3685,1.9463,1.69,2.3302,12.1504,0.2872,84.1833,-81.875,104.6771,8.7582,203.468
1538.0208,2.7189,2.1957,1.4344,2.3857,12.1784,0.2774,86.9072,-81.75,100.7483,8.9828,204.3974
1538.1732,2.7128,2.2234,1.7967,2.4003,12.199,0.2738,82.5279,-81.625,101.7941,9.1709,203.2015
1538.3256,2.5789,2.135,1.8545,2.3842,12.1796,0.2681,86.0229,-81.1875,101.4591,9.2889,195.8734
1538.478,2.6467,2.1805,0.975,2.3538,12.0988,0.2716,83.1352,-80.0625,100.7707,9.1643,192.0335
1538.6304,2.5907,2.1349,1.5429,2.3466,12.0928,0.2834,87.3521,-79.375,101.0606,9.3483,186.1731
1538.7828,2.3655,1.9553,2.0327,2.3579,12.1323,0.2958,84.3134,-79,101.5391,9.2379,197.8937
1538.9352,2.399,1.9898,1.0929,2.3421,12.1,0.2938,84.678,-79.1875,102.8237,9.2347,193.4062
